feature_1,feature_2,feature_3,target
3,960,Alpha,307
4,1420,Alpha,402
2,610,Beta,233
5,1880,Gamma,526
3,1100,Alpha,335
6,2210,Gamma,598
2,750,Beta,261
4,1310,Alpha,375
1,430,Beta,180
5,2010,Gamma,558
3,890,Alpha,295
4,1560,Beta,433
2,660,Gamma,251
6,2400,Alpha,631
3,1040,Beta,325
5,1750,Gamma,499
2,580,Alpha,223
4,1230,Beta,360
1,510,Gamma,201
3,1170,Alpha,348
6,2150,Beta,580
2,700,Gamma,256
5,1930,Alpha,535
4,1380,Beta,396
3,950,Alpha,304
2,820,Gamma,275
6,2300,Alpha,618
5,1670,Beta,485
1,470,Alpha,190
4,1470,Gamma,414
3,1010,Beta,318
2,640,Alpha,244
6,2080,Gamma,568
5,1840,Beta,519
4,1280,Alpha,367
3,920,Gamma,299
2,790,Beta,269
1,530,Alpha,206
5,2120,Gamma,573
6,2250,Beta,602
4,1340,Alpha,382
3,1080,Gamma,340
2,680,Beta,253
5,1980,Alpha,548
1,450,Gamma,189
6,2360,Beta,627
4,1420,Gamma,405
3,970,Alpha,309
2,840,Beta,281
5,1740,Gamma,495
