,raw_coef_dollars,ci_low,ci_high,p_value
const,4.589272229095347,4.550580079260967,4.627964378929728,0.0
trip_distance,3.0714366341086334,3.0680986614256267,3.07477460679164,0.0
trip_duration_minutes,0.27490735236405817,0.27374461345271717,0.27607009127539917,0.0
hour_0,-0.7421471741293442,-0.8071930778332626,-0.6771012704254258,9.742323376377279e-111
hour_1,-0.9504096171311988,-1.024984385924713,-0.8758348483376847,1.1538514010532527e-137
hour_2,-0.993834217375201,-1.081801827970497,-0.9058666067799048,1.2903764984878998e-108
hour_3,-0.7363552947899255,-0.8409134013187163,-0.6317971882611346,2.462166218050636e-43
hour_4,-0.305194019999708,-0.434257815396184,-0.17613022460323205,3.575271874269643e-06
hour_5,-0.7251252839950497,-0.8483317643330346,-0.6019188036570648,8.800142540276306e-31
hour_6,-1.5486516176375367,-1.6331937141918995,-1.4641095210831738,4.1944514290190385e-282
hour_7,-1.1263529315839538,-1.1902698489460635,-1.062436014221844,3.00985322369583e-261
hour_8,-0.5762571823125743,-0.6336704581055004,-0.5188439065196482,3.8781538954414525e-86
hour_9,-0.2739514737010112,-0.3290973149073389,-0.2188056324946835,2.1086721119100422e-22
hour_10,-0.12589028126292362,-0.1798184277823275,-0.07196213474351973,4.754579790297577e-06
hour_11,-0.035169497004749334,-0.08805224236513634,0.017713248355637666,0.19241491484606538
hour_13,-0.10202851568218971,-0.15336366348231223,-0.0506933678820672,9.80312257356691e-05
hour_14,-0.09921087750457731,-0.1498252851001035,-0.048596469909051115,0.0001221473505069925
hour_15,-0.16074574533705066,-0.2110096252258288,-0.11048186544827251,3.657593162216662e-10
hour_16,-0.20431957091646022,-0.2542913445294094,-0.1543477973035111,1.1141533548098468e-15
hour_17,-0.22344053906581676,-0.2725474568438234,-0.1743336212878101,4.755242682616129e-19
hour_18,-0.37633156889555625,-0.4250312539235393,-0.3276318838675732,8.181844261341233e-52
hour_19,-0.5749387320295014,-0.6250825101102024,-0.5247949539488004,8.21183539606434e-112
hour_20,-0.6752967653757594,-0.7269155521947855,-0.6236779785567333,5.940148086124553e-145
hour_21,-0.6819016027570011,-0.7336591558588961,-0.6301440496551061,5.562818065158117e-147
hour_22,-0.5998023631487336,-0.6529498329603959,-0.5466548933370713,2.183238214177382e-108
hour_23,-0.6970685556235642,-0.7548025620927701,-0.6393345491543583,9.121861153668493e-124
