pickup_location_id,dayofweek,pickup_hour,ride_count
1,0,8,1
1,1,18,1
1,2,6,1
1,3,13,1
1,3,15,1
1,3,18,1
1,3,19,1
1,3,23,1
1,4,8,1
1,4,16,1
1,5,14,1
1,6,16,1
2,3,5,1
3,0,3,1
3,0,18,1
3,1,6,2
3,1,8,1
3,1,13,1
3,1,15,1
3,1,18,1
3,2,13,1
3,2,15,1
3,3,8,1
3,3,9,1
3,3,10,1
3,3,16,1
3,4,4,1
3,4,6,1
3,4,8,1
3,4,10,1
3,5,10,1
3,6,10,1
4,0,0,1
4,0,1,3
4,0,2,10
4,0,3,1
4,0,5,1
4,0,7,1
4,0,8,3
4,0,9,1
4,0,10,3
4,0,11,1
4,0,13,1
4,0,14,3
4,0,15,4
4,0,16,3
4,0,17,1
4,0,18,3
4,0,19,3
4,0,21,1
4,0,22,1
4,0,23,5
4,1,0,3
4,1,1,5
4,1,2,7
4,1,4,1
4,1,5,1
4,1,6,2
4,1,7,4
4,1,8,5
4,1,9,5
4,1,10,2
4,1,11,4
4,1,12,3
4,1,13,1
4,1,14,1
4,1,15,3
4,1,16,4
4,1,17,3
4,1,18,2
4,1,19,2
4,1,20,3
4,1,21,4
4,1,22,6
4,2,0,3
4,2,1,1
4,2,6,1
4,2,7,4
4,2,8,9
4,2,9,3
4,2,10,2
4,2,11,3
4,2,12,3
4,2,13,3
4,2,14,3
4,2,15,2
4,2,16,4
4,2,17,2
4,2,18,1
4,2,19,7
4,2,20,3
4,2,21,8
4,2,22,1
4,2,23,7
4,3,0,5
4,3,1,5
4,3,2,1
4,3,4,1
4,3,5,1
4,3,8,4
4,3,9,4
4,3,10,4
4,3,11,5
4,3,12,2
4,3,13,3
4,3,15,6
4,3,16,5
4,3,17,2
4,3,18,3
4,3,19,8
4,3,20,5
4,3,21,5
4,3,22,9
4,3,23,8
4,4,0,9
4,4,1,15
4,4,2,10
4,4,3,1
4,4,7,1
4,4,8,4
4,4,10,6
4,4,11,4
4,4,12,3
4,4,14,4
4,4,15,3
4,4,16,1
4,4,17,3
4,4,18,4
4,4,19,11
4,4,20,4
4,4,21,11
4,4,22,17
4,4,23,34
4,5,0,36
4,5,1,68
4,5,2,62
4,5,3,29
4,5,4,6
4,5,5,1
4,5,7,1
4,5,8,1
4,5,9,1
4,5,10,3
4,5,11,1
4,5,12,3
4,5,13,5
4,5,14,5
4,5,15,5
4,5,16,6
4,5,17,6
4,5,18,10
4,5,19,12
4,5,20,8
4,5,21,14
4,5,22,17
4,5,23,42
4,6,0,58
4,6,1,77
4,6,2,59
4,6,3,37
4,6,4,12
4,6,7,1
4,6,9,1
4,6,10,3
4,6,11,1
4,6,12,3
4,6,13,5
4,6,14,4
4,6,16,3
4,6,17,5
4,6,18,5
4,6,19,6
4,6,20,2
4,6,21,4
4,6,22,3
4,6,23,4
6,1,8,1
7,0,0,1
7,0,1,1
7,0,2,2
7,0,4,1
7,0,5,1
7,0,6,2
7,0,7,2
7,0,8,3
7,0,9,1
7,0,10,4
7,0,11,3
7,0,12,6
7,0,13,2
7,0,14,3
7,0,15,5
7,0,16,2
7,0,17,3
7,0,18,3
7,0,19,1
7,0,20,1
7,0,21,2
7,0,22,1
7,1,2,2
7,1,4,1
7,1,5,1
7,1,6,4
7,1,7,3
7,1,8,3
7,1,9,7
7,1,10,1
7,1,11,7
7,1,12,2
7,1,14,1
7,1,15,5
7,1,16,3
7,1,17,3
7,1,19,3
7,1,20,4
7,1,21,2
7,1,22,2
7,1,23,1
7,2,2,1
7,2,3,1
7,2,5,1
7,2,6,2
7,2,7,6
7,2,8,4
