,raw_coef_dollars,ci_low,ci_high,p_value
const,4.498837826877528,4.458608411993252,4.5390672417618045,0.0
trip_distance,3.135768403443398,3.1315872159593363,3.1399495909274595,0.0
trip_duration_minutes,0.27290970882474935,0.27175315719720317,0.27406626045229554,0.0
zone_132,-2.5081577238395134,-2.57680799825938,-2.4395074494196467,0.0
zone_138,-0.06474331046291387,-0.12967612973935824,0.00018950881353049787,0.05067239536099001
zone_142,-0.7494024862376084,-0.80972297954417,-0.6890819929310468,6.339138485032778e-131
zone_162,-0.09792304977372045,-0.15681011592160848,-0.039035983625832424,0.0011172289157917509
zone_163,-0.2061879649346014,-0.2686763409179557,-0.14369958895124707,9.991713908432475e-11
zone_186,0.4619663486910558,0.4024731200655861,0.5214595773165255,2.674285517994698e-52
zone_230,-0.0032859910738788083,-0.06293922010137591,0.056367237953618296,0.9140238610483941
zone_236,-0.5752302383318231,-0.6310269430061569,-0.5194335336574892,9.032627092029955e-91
zone_237,-0.4700550479674959,-0.5248805231921133,-0.4152295727428785,2.3246490439417183e-63
zone_Other,-0.4980503014609215,-0.5381462089458373,-0.4579543939760057,7.043311410652634e-131
