pickup_hour,rides,baseline_revenue,avg_fare,is_gridlock,surge_price,new_rides,simulated_revenue,revenue_delta,ride_delta
0,25556,493890.49,19.32581350759117,False,19.32581350759117,25556.0,493890.49,0.0,0.0
1,17407,293849.73,16.88112426035503,False,16.88112426035503,17407.0,293849.73,0.0,0.0
2,11465,181570.61,15.836948102921935,False,15.836948102921935,11465.0,181570.61,0.0,0.0
3,7642,133693.18,17.494527610573147,False,17.494527610573147,7642.0,133693.18,0.0,0.0
4,4788,111086.74,23.20107351712615,False,23.20107351712615,4788.0,111086.74,0.0,0.0
5,5316,147084.35,27.668237396538753,False,27.668237396538753,5316.0,147084.35,0.0,0.0
6,12666,289742.23,22.875590557397757,False,22.875590557397757,12666.0,289742.23,0.0,0.0
7,26744,499572.88,18.679811546515108,True,22.415773855818127,25139.36,563518.20864,63945.32863999996,-1604.6399999999994
8,37502,658632.21,17.562588928590475,True,21.07510671430857,35251.880000000005,742937.1328800002,84304.9228800002,-2250.1199999999953
9,43152,770101.78,17.846259269558768,True,21.41551112347052,40562.880000000005,868674.80784,98573.02784,-2589.1199999999953
10,46814,848638.83,18.127885461614046,False,18.127885461614046,46814.0,848638.83,0.0,0.0
11,50416,901999.63,17.89113832910187,False,17.89113832910187,50416.0,901999.6299999999,-1.1641532182693481e-10,0.0
12,54093,990313.98,18.307617991237315,False,18.307617991237315,54093.0,990313.9800000001,1.1641532182693481e-10,0.0
13,56743,1075253.75,18.94954003136951,False,18.94954003136951,56743.0,1075253.75,0.0,0.0
14,60220,1183363.08,19.650665559614747,False,19.650665559614747,60220.0,1183363.08,0.0,0.0
15,62093,1229475.47,19.800548693089397,False,19.800548693089397,62093.0,1229475.47,0.0,0.0
16,63643,1253357.31,19.693561114340934,True,23.63227333720912,59824.420000000006,1413787.0456800002,160429.73568000016,-3818.5799999999945
17,68703,1256979.09,18.295839919654163,True,21.955007903584995,64580.82000000001,1417872.4135200002,160893.3235200001,-4122.179999999993
18,71442,1230866.5,17.22889196830996,True,20.674670361971952,67155.48000000001,1388417.4120000005,157550.91200000048,-4286.5199999999895
19,62974,1105143.36,17.54920062247912,True,21.059040746974944,59195.560000000005,1246601.71008,141458.35008,-3778.439999999995
20,56000,1003160.22,17.913575357142857,False,17.913575357142857,56000.0,1003160.22,0.0,0.0
21,55487,1007415.89,18.155890388739707,False,18.155890388739707,55487.0,1007415.8900000001,1.1641532182693481e-10,0.0
22,49984,953555.89,19.077222511203587,False,19.077222511203587,49984.0,953555.8900000001,1.1641532182693481e-10,0.0
23,37227,756475.3,20.32060869798802,False,20.32060869798802,37227.0,756475.3,0.0,0.0
