pickup_location_id,hour,day_of_week,is_weekend,ride_count
1,6,2,0,1
1,8,0,0,1
1,8,4,0,1
1,13,3,0,1
1,14,5,1,1
1,15,3,0,1
1,16,4,0,1
1,16,6,1,1
1,18,1,0,1
1,18,3,0,1
1,19,3,0,1
1,23,3,0,1
2,5,3,0,1
3,3,0,0,1
3,4,4,0,1
3,6,1,0,2
3,6,4,0,1
3,8,1,0,1
3,8,3,0,1
3,8,4,0,1
3,9,3,0,1
3,10,3,0,1
3,10,4,0,1
3,10,5,1,1
3,10,6,1,1
3,13,1,0,1
3,13,2,0,1
3,15,1,0,1
3,15,2,0,1
3,16,3,0,1
3,18,0,0,1
3,18,1,0,1
4,0,0,0,1
4,0,1,0,3
4,0,2,0,3
4,0,3,0,5
4,0,4,0,9
4,0,5,1,36
4,0,6,1,58
4,1,0,0,3
4,1,1,0,5
4,1,2,0,1
4,1,3,0,5
4,1,4,0,15
4,1,5,1,68
4,1,6,1,77
4,2,0,0,10
4,2,1,0,7
4,2,3,0,1
4,2,4,0,10
4,2,5,1,62
4,2,6,1,59
4,3,0,0,1
4,3,4,0,1
4,3,5,1,29
4,3,6,1,37
4,4,1,0,1
4,4,3,0,1
4,4,5,1,6
4,4,6,1,12
4,5,0,0,1
4,5,1,0,1
4,5,3,0,1
4,5,5,1,1
4,6,1,0,2
4,6,2,0,1
4,7,0,0,1
4,7,1,0,4
4,7,2,0,4
4,7,4,0,1
4,7,5,1,1
4,7,6,1,1
4,8,0,0,3
4,8,1,0,5
4,8,2,0,9
4,8,3,0,4
4,8,4,0,4
4,8,5,1,1
4,9,0,0,1
4,9,1,0,5
4,9,2,0,3
4,9,3,0,4
4,9,5,1,1
4,9,6,1,1
4,10,0,0,3
4,10,1,0,2
4,10,2,0,2
4,10,3,0,4
4,10,4,0,6
4,10,5,1,3
4,10,6,1,3
4,11,0,0,1
4,11,1,0,4
4,11,2,0,3
4,11,3,0,5
4,11,4,0,4
4,11,5,1,1
4,11,6,1,1
4,12,1,0,3
4,12,2,0,3
4,12,3,0,2
4,12,4,0,3
4,12,5,1,3
4,12,6,1,3
4,13,0,0,1
4,13,1,0,1
4,13,2,0,3
4,13,3,0,3
4,13,5,1,5
4,13,6,1,5
4,14,0,0,3
4,14,1,0,1
4,14,2,0,3
4,14,4,0,4
4,14,5,1,5
4,14,6,1,4
4,15,0,0,4
4,15,1,0,3
4,15,2,0,2
4,15,3,0,6
4,15,4,0,3
4,15,5,1,5
4,16,0,0,3
4,16,1,0,4
4,16,2,0,4
4,16,3,0,5
4,16,4,0,1
4,16,5,1,6
4,16,6,1,3
4,17,0,0,1
4,17,1,0,3
4,17,2,0,2
4,17,3,0,2
4,17,4,0,3
4,17,5,1,6
4,17,6,1,5
4,18,0,0,3
4,18,1,0,2
4,18,2,0,1
4,18,3,0,3
4,18,4,0,4
4,18,5,1,10
4,18,6,1,5
4,19,0,0,3
4,19,1,0,2
4,19,2,0,7
4,19,3,0,8
4,19,4,0,11
4,19,5,1,12
4,19,6,1,6
4,20,1,0,3
4,20,2,0,3
4,20,3,0,5
4,20,4,0,4
4,20,5,1,8
4,20,6,1,2
4,21,0,0,1
4,21,1,0,4
4,21,2,0,8
4,21,3,0,5
4,21,4,0,11
4,21,5,1,14
4,21,6,1,4
4,22,0,0,1
4,22,1,0,6
4,22,2,0,1
4,22,3,0,9
4,22,4,0,17
4,22,5,1,17
4,22,6,1,3
4,23,0,0,5
4,23,2,0,7
4,23,3,0,8
4,23,4,0,34
4,23,5,1,42
4,23,6,1,4
6,8,1,0,1
7,0,0,0,1
7,0,3,0,2
7,0,4,0,3
7,0,5,1,4
7,0,6,1,5
7,1,0,0,1
7,1,4,0,1
7,1,5,1,2
7,1,6,1,2
7,2,0,0,2
7,2,1,0,2
7,2,2,0,1
7,2,4,0,1
7,2,5,1,2
7,2,6,1,2
7,3,2,0,1
7,3,4,0,1
7,3,6,1,3
7,4,0,0,1
7,4,1,0,1
7,4,4,0,1
7,4,5,1,2
7,4,6,1,3
7,5,0,0,1
7,5,1,0,1
7,5,2,0,1
7,5,4,0,2
7,5,5,1,1
7,5,6,1,2
7,6,0,0,2
7,6,1,0,4
7,6,2,0,2
7,6,3,0,2
7,6,4,0,3
7,6,5,1,1
7,6,6,1,1
7,7,0,0,2
7,7,1,0,3
7,7,2,0,6
7,7,3,0,2
7,7,4,0,2
7,7,5,1,3
7,7,6,1,1
7,8,0,0,3
7,8,1,0,3
7,8,2,0,4
7,8,3,0,7
7,8,4,0,3
7,8,5,1,2
7,8,6,1,4
7,9,0,0,1
7,9,1,0,7
7,9,2,0,1
7,9,3,0,2
7,9,4,0,2
7,9,5,1,9
7,9,6,1,3
7,10,0,0,4
7,10,1,0,1
7,10,2,0,5
7,10,3,0,5
7,10,4,0,3
7,10,5,1,3
7,10,6,1,3
7,11,0,0,3
7,11,1,0,7
7,11,2,0,3
7,11,3,0,3
7,11,4,0,4
7,11,5,1,5
7,11,6,1,1
7,12,0,0,6
7,12,1,0,2
7,12,2,0,1
7,12,3,0,3
7,12,4,0,3
7,12,5,1,2
7,12,6,1,3
7,13,0,0,2
7,13,2,0,5
7,13,3,0,2
7,13,4,0,3
7,13,6,1,1
7,14,0,0,3
7,14,1,0,1
7,14,2,0,7
7,14,3,0,5
7,14,4,0,5
7,14,5,1,5
7,14,6,1,4
7,15,0,0,5
7,15,1,0,5
7,15,2,0,6
7,15,3,0,5
7,15,4,0,2
7,15,5,1,3
7,15,6,1,2
7,16,0,0,2
7,16,1,0,3
7,16,2,0,4
7,16,3,0,1
7,16,4,0,2
7,16,5,1,5
7,16,6,1,3
7,17,0,0,3
7,17,1,0,3
7,17,2,0,4
7,17,3,0,2
7,17,4,0,2
7,17,5,1,3
7,17,6,1,4
7,18,0,0,3
7,18,2,0,1
7,18,3,0,2
7,18,4,0,2
7,18,5,1,2
7,18,6,1,2
7,19,0,0,1
7,19,1,0,3
7,19,2,0,1
7,19,3,0,3
7,19,4,0,5
7,19,5,1,2
7,19,6,1,5
7,20,0,0,1
7,20,1,0,4
7,20,2,0,1
7,20,3,0,1
7,20,5,1,3
7,20,6,1,2
7,21,0,0,2
7,21,1,0,2
7,21,2,0,1
7,21,3,0,2
7,21,4,0,4
7,21,5,1,1
7,21,6,1,1
7,22,0,0,1
7,22,1,0,2
7,22,2,0,1
7,22,3,0,1
7,22,4,0,4
7,22,5,1,1
7,23,1,0,1
7,23,2,0,1
7,23,4,0,4
7,23,5,1,2
7,23,6,1,1
8,6,6,1,1
8,18,2,0,1
9,0,2,0,1
9,4,2,0,1
9,5,1,0,1
9,5,3,0,1
9,10,1,0,1
9,12,3,0,1
9,13,3,0,1
9,14,2,0,1
9,18,4,0,1
10,0,0,0,1
10,0,2,0,1
10,0,4,0,1
10,1,2,0,1
10,1,5,1,1
10,1,6,1,3
10,2,1,0,1
10,3,0,0,1
10,3,1,0,2
10,5,0,0,1
10,5,1,0,1
10,5,2,0,5
10,5,3,0,2
10,5,4,0,2
10,6,0,0,3
10,6,1,0,1
10,6,2,0,5
10,6,3,0,4
10,6,4,0,4
10,6,5,1,3
10,6,6,1,2
10,7,0,0,2
10,7,1,0,4
10,7,2,0,1
10,7,3,0,2
10,7,4,0,2
10,7,5,1,1
10,7,6,1,2
10,8,0,0,4
10,8,1,0,1
10,8,2,0,4
10,8,5,1,2
10,8,6,1,5
10,9,0,0,2
10,9,1,0,2
10,9,3,0,4
10,9,5,1,1
10,10,1,0,1
10,10,2,0,1
10,10,3,0,1
10,10,4,0,3
10,10,5,1,2
10,10,6,1,3
10,11,0,0,2
10,11,1,0,6
10,11,2,0,2
10,11,3,0,1
10,11,4,0,3
