value,count,proportion,median_fare,mean_fare,std_fare
18,3161,0.07384478811381583,12.1,15.282948434039861,10.352276868750991
17,2968,0.06933607438209596,12.1,15.51041105121294,10.892123669786484
15,2730,0.06377610615334299,12.8,16.724652014652015,13.086264101796274
16,2719,0.063519132831846,12.8,16.264840014711286,12.51468921610306
19,2706,0.06321543708825865,12.1,15.480931263858094,11.829435325939214
14,2616,0.0611129280941924,12.8,16.357912844036697,11.84016039443785
20,2483,0.05800588702518338,12.1,15.577225130890053,11.161948003450346
12,2435,0.056884548895014715,12.8,16.013634496919916,11.334928444815919
13,2417,0.05646404709620147,12.8,16.1829954489036,11.720877872824403
21,2394,0.055926739242162314,12.1,15.746157059314951,10.905383252706063
11,2222,0.051908610942391256,12.8,16.024032403240323,10.946206246389833
22,2115,0.04940896136055693,12.8,16.238888888888887,11.417078028714707
10,2057,0.04805401111993646,12.8,16.128536703937773,11.84909892680361
9,1862,0.04349857496612625,12.1,15.524167561761546,11.459528871927262
8,1655,0.038662804279773866,12.1,15.571782477341392,11.631418596808338
