key,occurrences
Pack Material Type,4496
Volume,4413
Juice Content,4370
Carbonization,4176
Pack Type,3321
Flavour,3137
Naturally derived,2397
Sweetener,2289
Caffeine,2255
Health Claims,1867
Water Type,1601
Made From,1435
Immune Support Ingredients,1334
Sustainable Sourcing,1063
Juice Features,821
No Artificial Ingredients,759
Contains Minerals,632
Geographic Origin,481
Free From,476
Energy Source,363
Sustainable Packaging,272
Diets,247
RTD Coffee Style,245
Environmentally Friendly,211
Tea Type,201
Sports Ingredients,176
Coffee Type,142
Botanicals And Functional Ingredients,141
Concentrate Format,127
Weight,93
Nutri-Score,53
Count per Unit,50
Sports Positioning,49
Roast Type,47
Sports Drinks Style,14
Special Edition,6
