gtin,skus
5000128652797,44.0
5060118260203,44.0
5060146710046,39.0
5060146710015,36.0
5018076100697,35.0
5060452360065,28.0
5060477670002,25.0
5000128711913,24.0
5060452360096,22.0
4032108169224,21.0
5060468010510,21.0
5060167500169,19.0
5060424220007,17.0
4260339810329,16.0
8056326430238,15.0
5000128651653,15.0
8480011000022,14.0
8410408010808,14.0
4032108169361,14.0
5411188128021,14.0
8054615740044,14.0
5018076100512,13.0
5060128500405,13.0
73970002046,13.0
43000032275,13.0
TOTAL_GTINS,14997.0
MULTI_RETAILER_GTINS,7040.0
MEAN_SKUS_PER_GTIN,2.01
