group,metric,value
numeric,price_n,70203.0
numeric,price_missing,1420.0
numeric,price_min,0.01
numeric,price_max,9998.0
numeric,price_mean,27.1829
numeric,price_std,136.062
numeric,price_cv,5.0054
numeric,price_iqr,23.5
numeric,price_outlier_pct_1_5iqr,0.0603
identifier,barcode_cardinality,14997.0
identifier,barcode_coverage_pct,0.4199
identifier,barcode_non_digit_rows,0.0
identifier,barcode_anomalous_length_values,1747.0
identifier,product_id_unique_pct,1.0
categorical,retailer_cardinality,280.0
categorical,retailer_entropy_bits,5.93
categorical,retailer_sparsity_pct_rare,0.1607
categorical,retailer_longtail_row_share,0.0015
categorical,retailer_case_variant_groups,1.0
categorical,retailer_case_variant_rows,1004.0
categorical,country_cardinality,19.0
categorical,country_entropy_bits,3.4
categorical,country_sparsity_pct_rare,0.0
categorical,country_longtail_row_share,0.0
categorical,country_case_variant_groups,0.0
categorical,country_case_variant_rows,0.0
categorical,brand_cardinality,2265.0
categorical,brand_entropy_bits,10.27
categorical,brand_sparsity_pct_rare,0.2362
categorical,brand_longtail_row_share,0.0182
categorical,brand_case_variant_groups,0.0
categorical,brand_case_variant_rows,0.0
categorical,category_cardinality,24.0
categorical,category_entropy_bits,4.21
categorical,category_sparsity_pct_rare,0.0
categorical,category_longtail_row_share,0.0
categorical,category_case_variant_groups,0.0
categorical,category_case_variant_rows,0.0
text,title_avg_length,53.1
text,title_avg_words,9.3
text,title_vocab_size,17812.0
text,title_html_noise_pct,0.0006
text,title_placeholder_pct,0.0
text,title_empty_pct,0.0
text,description_avg_length,167.7
text,description_avg_words,27.0
text,description_vocab_size,51198.0
text,description_html_noise_pct,0.0011
text,description_placeholder_pct,0.0002
text,description_empty_pct,0.0
semantic,barcode_price_conflict_pct_all,0.4431
semantic,barcode_price_conflict_pct_multi,0.8478
semantic,barcode_brand_conflict_pct_multi,0.0112
semantic,weight_unit_rows,1644.0
semantic,weight_unit_share_pct,0.023
semantic,pack_structure_rows,15850.0
semantic,pack_structure_share_pct,0.2213
