category,macro_category,rows
Asian Speciality Drinks,TEA_COFFEE,10
Carbonated Bottled Water,WATER,2184
Carbonated RTD Tea and Kombucha,TEA_COFFEE,1856
Coconut and Other Plant Waters,JUICE,2440
Energy Drinks,ENERGY_SPORTS,5156
Functional Bottled Water,WATER,4362
Juice Drinks (up to 24% Juice),JUICE,4646
Lemonade/Lime,CARBONATES,1399
Liquid Concentrates,CONCENTRATES,5490
Nectars,JUICE,2691
Not from Concentrate 100% Juice,JUICE,10111
Orange Carbonates,CARBONATES,1028
Other Non-Cola Carbonates,CARBONATES,6573
Powder Concentrates,CONCENTRATES,3652
RTD Coffee,TEA_COFFEE,4146
Reconstituted 100% Juice,JUICE,1465
Reduced Sugar Cola Carbonates,CARBONATES,639
Regular Cola Carbonates,CARBONATES,624
Sparkling Flavoured Bottled Water,WATER,2674
Sports Drinks,ENERGY_SPORTS,1590
Still Bottled Water,WATER,3218
Still Flavoured Bottled Water,WATER,1101
Still RTD Tea,TEA_COFFEE,2946
Tonic Water/Mixers/Other Bitters,CARBONATES,1622
