type,key,recall,candidates,blocks,agree_when_both
single,brand,0.9825,3001935,2265.0,0.9825
single,strict_category,0.9268,166575912,24.0,0.9268
single,macro_category,0.976,494883588,6.0,0.976
single,volume_ml,0.6349,404773368,249.0,0.9837
single,price_bucket,0.3529,124183920,21.0,0.3637
single,flavor,0.8894,414306051,32.0,0.9373
single,country,0.9027,368684726,19.0,0.9027
single,pack_count,0.8455,1603890089,94.0,0.4635
single,retailer,0.1009,161176912,280.0,0.1009
composite,brand|macro,0.9608,2504218,3793.0,
composite,brand|strict,0.9128,1842483,6134.0,
composite,brand|macro|country,0.8664,2094926,6882.0,
composite,brand|macro|volume,0.6154,1146524,8809.0,
composite,brand|strict|volume,0.5864,883102,12077.0,
composite,brand|macro|price,0.3435,448361,18134.0,
composite,brand|macro|flavor,0.8551,1114866,11072.0,
composite,brand|volume,0.6275,1339172,7091.0,
greedy_step,brand,0.9825,3001935,,
greedy_step,brand -> macro_category,0.9608,2504218,,
greedy_final,brand x macro_category,0.9608,2504218,,
