key,group_size,sample_title,retailers,barcodes
retailer+title,143,pine water 1 lt,Gittigidiyor,
retailer+title,50,"Coffee Concentrate - 35 Servings, Cold Brew Coffee and Hot Coffee",Walmart,
retailer+title,42,fennel tea with humana cumin 200gr,Gittigidiyor,
retailer+title,33,"Javy Coffee Concentrate - 35 Servings, Cold Brew Coffee, Perfect for I",Walmart,
retailer+title,32,lobas natural pomegranate syrup essence 340 gr,Gittigidiyor,
title+brand,143,Morshynska Plus Pine Water,Gittigidiyor,
title+brand,50,Javy,Walmart,
title+brand,42,Humana,Gittigidiyor,
title+brand,33,Javy,Walmart,
title+brand,32,Lobas,Gittigidiyor,
