title,brand,n_retailers,n_barcodes,barcodes,retailers
AA Drink Hydration Zero Sugar 500 ml,AA,2,2,"['8722200962835', '8722200964891']","['Coop', 'Vomar']"
Alkaline88 Purified Water,Alkaline88,2,2,"['853158004310', '853158004853']","['H-E-B', 'Kroger']"
"BE GREEN juice ecological Carrot Sunset with carrot, orange, lemon, ginger and apple bottle 300 ml",Be Green,2,2,"['8437016390030', '8437016390122']","['El Corte Inglés', 'Hipercor']"
Badia Sour Orange -- 20 fl oz,Badia,2,2,"['782761983081', '786173816302']","['Kmart', 'amazon']"
"Bare Nature Peach Vitamin Iced Tea (20 oz., 12 ct.)",Bare Nature,2,2,"['732976282370', '743272197558']","['Walmart', 'amazon']"
Battery Juiced,Battery,2,2,"['6415600560412', '6415600560443']","['Meny', 'Spar']"
Bawls Guarana Soda Cherry,Bawls,2,2,"['6220171969003', '637910117070']","['Kroger', 'peapod']"
Bawls Guarana Soda Root Beer,Bawls,2,2,"['6220171969010', '637910229575']","['Kroger', 'peapod']"
Big Red Soda,Big Red,2,3,"['71817000125', '71817000217', '71817000378']","['H-E-B', 'Publix']"
Black Cherry Soda,Dr Brown's,2,2,"['73970001049', '73970102043']","['Giant Eagle', 'Harris Teeter']"
"Blenheim """" Not As Hot"""" Ginger Ale 12- Ounce Glass Bottle ( Pack of 12)",Blenheim,2,2,"['751787157370', '768795190725']","['Walmart', 'amazon']"
"Blenheim Ginger Ale Hot, 12 Ounce (12 Glass Bottles)",Blenheim,2,2,"['747519475737', '758106228582']","['Walmart', 'amazon']"
Blossom Water Lemon Rose,Blossom Water,2,2,"['862651000224', '867188000341']","['Hy-Vee', 'Kroger']"
Body Armor Super Drink Strawberry Banana,Super Drink,2,2,"['858176002065', '858176002317']","['Hy-Vee', 'peapod']"
Booster Free,Faxe,2,2,"['5741000142899', '5741000145623']","['Coop.dk MAD', 'Osuma']"
Brecon Carreg Still Natural Mineral Water,Brecon Carreg,3,3,"['5030341500001', '5030341500896', '5030341501077']","['Asda', 'Lidl', 'Morrisons']"
Brew Dr. Kombucha Organic Clear Mind Kombucha,Brew Dr Kombucha,2,2,"['851107003001', '851107003872']","['Fred Meyer Stores', 'Kroger']"
Bruce Cost Ginger Ale - Blood Orange with Meyer Lemon - 12 Fl Oz ( Pack of 6 Glass Bottles),Bruce Cost,2,2,"['656346622392', '680332586078']","['Walmart', 'amazon']"
Bruce Cost Unfiltered Ginger Ale - Passion Fruit with Turmeric - 12 oz (24 Glass Bottles),Bruce Cost,2,2,"['185687878958', '680332584555']","['Walmart', 'amazon']"
Carbonated Natural Spring Water,Montellier,2,2,"['56918000151', '56918000519']","['Metro', 'Real Canadian Super Store']"
Citrus carbonated water Pet,Ramlösa,2,4,"['7310070001726', '7310070001832', '7310072000239', '73145721']","['Hemköp', 'Willys']"
Clearly Canadian Mountain Blackberry Sparkling Water,Clearly Canadian,3,2,"['66479000064', '66479000569']","['Hy-Vee', 'Kroger', 'Well.ca']"
"Clearly Canadian Sparkling Flavored Water ( Orchard Peach, 6 Pack)",Clearly Canadian,2,2,"['732773990171', '824238660856']","['Walmart', 'amazon']"
