pickup_datetime,trips
2024-01-01,67947
2024-01-02,71031
2024-01-03,78049
2024-01-04,97538
2024-01-05,97157
2024-01-06,89321
2024-01-07,62858
2024-01-08,75577
2024-01-09,84203
2024-01-10,89421
2024-01-11,98764
2024-01-12,96390
2024-01-13,97257
2024-01-14,86277
2024-01-15,71862
2024-01-16,85167
2024-01-17,99649
2024-01-18,101587
2024-01-19,89348
2024-01-20,97502
2024-01-21,76686
2024-01-22,80086
2024-01-23,93145
2024-01-24,98766
2024-01-25,102293
2024-01-26,98529
2024-01-27,103049
2024-01-28,82866
2024-01-29,79545
2024-01-30,95320
2024-01-31,96027
2024-02-01,102787
2024-02-02,98747
2024-02-03,101747
2024-02-04,81570
2024-02-05,83510
2024-02-06,96035
2024-02-07,96629
2024-02-08,105975
2024-02-09,101778
2024-02-10,103581
2024-02-11,86095
2024-02-12,86256
2024-02-13,64910
2024-02-14,109395
2024-02-15,107842
2024-02-16,95572
2024-02-17,91927
2024-02-18,81432
2024-02-19,70551
2024-02-20,90918
2024-02-21,97510
2024-02-22,106295
2024-02-23,95352
2024-02-24,104244
2024-02-25,83534
2024-02-26,79907
2024-02-27,101701
2024-02-28,100989
2024-02-29,113622
2024-03-01,105447
2024-03-02,102779
2024-03-03,84998
2024-03-04,87440
2024-03-05,101397
2024-03-06,109647
2024-03-07,108181
2024-03-08,105699
2024-03-09,109750
2024-03-10,86402
2024-03-11,88924
2024-03-12,99618
2024-03-13,106634
2024-03-14,116277
2024-03-15,110207
2024-03-16,108656
2024-03-17,86466
2024-03-18,86197
2024-03-19,99670
2024-03-20,104643
2024-03-21,111014
2024-03-22,100796
2024-03-23,95755
2024-03-24,84042
2024-03-25,83650
2024-03-26,97621
2024-03-27,103789
2024-03-28,105448
2024-03-29,98199
2024-03-30,92920
2024-03-31,79769
2024-04-01,2
