pickup_datetime,trips
2024-01-01 00:00:00,5406
2024-01-01 01:00:00,5579
2024-01-01 02:00:00,5249
2024-01-01 03:00:00,3772
2024-01-01 04:00:00,2025
2024-01-01 05:00:00,994
2024-01-01 06:00:00,865
2024-01-01 07:00:00,930
2024-01-01 08:00:00,952
2024-01-01 09:00:00,1272
2024-01-01 10:00:00,1953
2024-01-01 11:00:00,2490
2024-01-01 12:00:00,3082
2024-01-01 13:00:00,3544
2024-01-01 14:00:00,3696
2024-01-01 15:00:00,3852
2024-01-01 16:00:00,3996
2024-01-01 17:00:00,3546
2024-01-01 18:00:00,3364
2024-01-01 19:00:00,3081
2024-01-01 20:00:00,2660
2024-01-01 21:00:00,2233
2024-01-01 22:00:00,2030
2024-01-01 23:00:00,1376
2024-01-02 00:00:00,841
2024-01-02 01:00:00,370
2024-01-02 02:00:00,219
2024-01-02 03:00:00,200
2024-01-02 04:00:00,214
2024-01-02 05:00:00,583
2024-01-02 06:00:00,1253
2024-01-02 07:00:00,2536
2024-01-02 08:00:00,3304
2024-01-02 09:00:00,3733
2024-01-02 10:00:00,3948
2024-01-02 11:00:00,4301
2024-01-02 12:00:00,4406
2024-01-02 13:00:00,4521
2024-01-02 14:00:00,4911
2024-01-02 15:00:00,5118
2024-01-02 16:00:00,5012
2024-01-02 17:00:00,5166
2024-01-02 18:00:00,4985
2024-01-02 19:00:00,4049
2024-01-02 20:00:00,3407
2024-01-02 21:00:00,3509
2024-01-02 22:00:00,2611
2024-01-02 23:00:00,1834
2024-01-03 00:00:00,1140
2024-01-03 01:00:00,441
2024-01-03 02:00:00,261
2024-01-03 03:00:00,162
2024-01-03 04:00:00,200
2024-01-03 05:00:00,567
2024-01-03 06:00:00,1363
2024-01-03 07:00:00,2457
2024-01-03 08:00:00,3506
2024-01-03 09:00:00,4108
2024-01-03 10:00:00,4213
2024-01-03 11:00:00,4533
2024-01-03 12:00:00,4743
2024-01-03 13:00:00,5038
2024-01-03 14:00:00,5330
2024-01-03 15:00:00,5351
2024-01-03 16:00:00,5437
2024-01-03 17:00:00,5465
2024-01-03 18:00:00,5514
2024-01-03 19:00:00,4837
2024-01-03 20:00:00,4196
2024-01-03 21:00:00,3756
2024-01-03 22:00:00,3072
2024-01-03 23:00:00,2359
2024-01-04 00:00:00,1089
2024-01-04 01:00:00,502
2024-01-04 02:00:00,307
2024-01-04 03:00:00,243
2024-01-04 04:00:00,205
2024-01-04 05:00:00,496
2024-01-04 06:00:00,1314
2024-01-04 07:00:00,2459
2024-01-04 08:00:00,3733
2024-01-04 09:00:00,4260
2024-01-04 10:00:00,4532
2024-01-04 11:00:00,4639
2024-01-04 12:00:00,5040
2024-01-04 13:00:00,5148
2024-01-04 14:00:00,5724
2024-01-04 15:00:00,6823
2024-01-04 16:00:00,7142
2024-01-04 17:00:00,7941
2024-01-04 18:00:00,8329
2024-01-04 19:00:00,6821
2024-01-04 20:00:00,6093
2024-01-04 21:00:00,6361
2024-01-04 22:00:00,5187
2024-01-04 23:00:00,3150
2024-01-05 00:00:00,1727
2024-01-05 01:00:00,863
2024-01-05 02:00:00,485
2024-01-05 03:00:00,343
2024-01-05 04:00:00,215
2024-01-05 05:00:00,539
2024-01-05 06:00:00,1458
2024-01-05 07:00:00,2859
2024-01-05 08:00:00,3833
2024-01-05 09:00:00,4592
2024-01-05 10:00:00,4896
2024-01-05 11:00:00,5122
2024-01-05 12:00:00,5315
2024-01-05 13:00:00,5581
2024-01-05 14:00:00,5974
2024-01-05 15:00:00,6281
2024-01-05 16:00:00,6515
2024-01-05 17:00:00,7183
2024-01-05 18:00:00,7085
2024-01-05 19:00:00,6161
2024-01-05 20:00:00,5111
2024-01-05 21:00:00,5166
2024-01-05 22:00:00,5322
2024-01-05 23:00:00,4531
2024-01-06 00:00:00,3399
2024-01-06 01:00:00,2529
2024-01-06 02:00:00,1774
2024-01-06 03:00:00,1107
2024-01-06 04:00:00,563
2024-01-06 05:00:00,361
2024-01-06 06:00:00,676
2024-01-06 07:00:00,1221
2024-01-06 08:00:00,1995
2024-01-06 09:00:00,3053
2024-01-06 10:00:00,3821
2024-01-06 11:00:00,4527
2024-01-06 12:00:00,5187
2024-01-06 13:00:00,5387
2024-01-06 14:00:00,5622
2024-01-06 15:00:00,6315
2024-01-06 16:00:00,6256
2024-01-06 17:00:00,6046
2024-01-06 18:00:00,6110
2024-01-06 19:00:00,5303
2024-01-06 20:00:00,4320
2024-01-06 21:00:00,4817
2024-01-06 22:00:00,4964
2024-01-06 23:00:00,3968
2024-01-07 00:00:00,3602
2024-01-07 01:00:00,2427
2024-01-07 02:00:00,1614
2024-01-07 03:00:00,1023
2024-01-07 04:00:00,489
2024-01-07 05:00:00,290
2024-01-07 06:00:00,557
2024-01-07 07:00:00,797
2024-01-07 08:00:00,1352
2024-01-07 09:00:00,1983
2024-01-07 10:00:00,3016
2024-01-07 11:00:00,3784
2024-01-07 12:00:00,3923
2024-01-07 13:00:00,4112
2024-01-07 14:00:00,4118
2024-01-07 15:00:00,4344
2024-01-07 16:00:00,4491
2024-01-07 17:00:00,4041
2024-01-07 18:00:00,3847
2024-01-07 19:00:00,3409
2024-01-07 20:00:00,3104
2024-01-07 21:00:00,2774
2024-01-07 22:00:00,2291
2024-01-07 23:00:00,1470
2024-01-08 00:00:00,900
2024-01-08 01:00:00,383
2024-01-08 02:00:00,195
2024-01-08 03:00:00,169
2024-01-08 04:00:00,188
2024-01-08 05:00:00,527
2024-01-08 06:00:00,1470
2024-01-08 07:00:00,2973
2024-01-08 08:00:00,3773
2024-01-08 09:00:00,3936
2024-01-08 10:00:00,3966
2024-01-08 11:00:00,3989
2024-01-08 12:00:00,4303
2024-01-08 13:00:00,4338
2024-01-08 14:00:00,4894
2024-01-08 15:00:00,5104
2024-01-08 16:00:00,4926
2024-01-08 17:00:00,5603
2024-01-08 18:00:00,6561
2024-01-08 19:00:00,4897
2024-01-08 20:00:00,3961
2024-01-08 21:00:00,3584
2024-01-08 22:00:00,2667
2024-01-08 23:00:00,2270
2024-01-09 00:00:00,958
2024-01-09 01:00:00,458
2024-01-09 02:00:00,214
2024-01-09 03:00:00,157
2024-01-09 04:00:00,204
2024-01-09 05:00:00,527
2024-01-09 06:00:00,1407
2024-01-09 07:00:00,3242
2024-01-09 08:00:00,4254
2024-01-09 09:00:00,4507
2024-01-09 10:00:00,4568
2024-01-09 11:00:00,5248
2024-01-09 12:00:00,4918
2024-01-09 13:00:00,5223
2024-01-09 14:00:00,5981
2024-01-09 15:00:00,6044
2024-01-09 16:00:00,5810
2024-01-09 17:00:00,6884
2024-01-09 18:00:00,6268
2024-01-09 19:00:00,5186
2024-01-09 20:00:00,4216
2024-01-09 21:00:00,3704
2024-01-09 22:00:00,2815
2024-01-09 23:00:00,1410
2024-01-10 00:00:00,670
2024-01-10 01:00:00,367
2024-01-10 02:00:00,296
2024-01-10 03:00:00,261
2024-01-10 04:00:00,240
2024-01-10 05:00:00,562
2024-01-10 06:00:00,1327
2024-01-10 07:00:00,3020
2024-01-10 08:00:00,4570
2024-01-10 09:00:00,4445
2024-01-10 10:00:00,4412
2024-01-10 11:00:00,4686
2024-01-10 12:00:00,4992
2024-01-10 13:00:00,5324
2024-01-10 14:00:00,5801
2024-01-10 15:00:00,5880
2024-01-10 16:00:00,5650
2024-01-10 17:00:00,6643
2024-01-10 18:00:00,6891
2024-01-10 19:00:00,5881
2024-01-10 20:00:00,5515
2024-01-10 21:00:00,5357
2024-01-10 22:00:00,4057
2024-01-10 23:00:00,2574
2024-01-11 00:00:00,1324
2024-01-11 01:00:00,662
2024-01-11 02:00:00,372
2024-01-11 03:00:00,261
2024-01-11 04:00:00,268
2024-01-11 05:00:00,537
2024-01-11 06:00:00,1422
2024-01-11 07:00:00,3257
2024-01-11 08:00:00,4521
2024-01-11 09:00:00,4756
2024-01-11 10:00:00,4709
2024-01-11 11:00:00,5032
2024-01-11 12:00:00,5397
2024-01-11 13:00:00,5438
2024-01-11 14:00:00,5896
2024-01-11 15:00:00,6110
2024-01-11 16:00:00,6124
2024-01-11 17:00:00,7141
2024-01-11 18:00:00,7388
2024-01-11 19:00:00,6880
2024-01-11 20:00:00,5997
2024-01-11 21:00:00,6072
2024-01-11 22:00:00,5238
2024-01-11 23:00:00,3962
2024-01-12 00:00:00,2076
2024-01-12 01:00:00,1133
2024-01-12 02:00:00,617
2024-01-12 03:00:00,370
2024-01-12 04:00:00,313
2024-01-12 05:00:00,584
2024-01-12 06:00:00,1283
2024-01-12 07:00:00,2731
2024-01-12 08:00:00,3816
2024-01-12 09:00:00,4108
2024-01-12 10:00:00,4550
2024-01-12 11:00:00,4754
2024-01-12 12:00:00,4950
2024-01-12 13:00:00,5231
2024-01-12 14:00:00,6053
2024-01-12 15:00:00,6293
2024-01-12 16:00:00,6127
2024-01-12 17:00:00,6390
2024-01-12 18:00:00,6656
2024-01-12 19:00:00,6543
2024-01-12 20:00:00,5111
2024-01-12 21:00:00,5316
2024-01-12 22:00:00,6341
2024-01-12 23:00:00,5044
2024-01-13 00:00:00,4270
2024-01-13 01:00:00,2818
2024-01-13 02:00:00,1805
2024-01-13 03:00:00,1187
2024-01-13 04:00:00,613
2024-01-13 05:00:00,345
2024-01-13 06:00:00,596
2024-01-13 07:00:00,1006
2024-01-13 08:00:00,1760
2024-01-13 09:00:00,2714
2024-01-13 10:00:00,3486
2024-01-13 11:00:00,4416
2024-01-13 12:00:00,5996
2024-01-13 13:00:00,5577
2024-01-13 14:00:00,5535
2024-01-13 15:00:00,6031
2024-01-13 16:00:00,6612
2024-01-13 17:00:00,6805
2024-01-13 18:00:00,6947
2024-01-13 19:00:00,6415
2024-01-13 20:00:00,5329
2024-01-13 21:00:00,5324
2024-01-13 22:00:00,5816
2024-01-13 23:00:00,5854
2024-01-14 00:00:00,4374
2024-01-14 01:00:00,3493
2024-01-14 02:00:00,2700
2024-01-14 03:00:00,1726
2024-01-14 04:00:00,828
2024-01-14 05:00:00,370
2024-01-14 06:00:00,538
2024-01-14 07:00:00,1032
2024-01-14 08:00:00,1759
2024-01-14 09:00:00,2702
2024-01-14 10:00:00,3843
2024-01-14 11:00:00,4520
2024-01-14 12:00:00,5183
2024-01-14 13:00:00,5423
2024-01-14 14:00:00,5483
2024-01-14 15:00:00,5245
2024-01-14 16:00:00,5761
2024-01-14 17:00:00,5688
2024-01-14 18:00:00,5619
2024-01-14 19:00:00,4818
2024-01-14 20:00:00,4184
2024-01-14 21:00:00,4088
2024-01-14 22:00:00,3638
2024-01-14 23:00:00,3262
2024-01-15 00:00:00,2079
2024-01-15 01:00:00,997
2024-01-15 02:00:00,658
2024-01-15 03:00:00,386
2024-01-15 04:00:00,302
2024-01-15 05:00:00,402
2024-01-15 06:00:00,810
2024-01-15 07:00:00,1252
2024-01-15 08:00:00,2254
2024-01-15 09:00:00,2898
2024-01-15 10:00:00,3632
2024-01-15 11:00:00,4334
2024-01-15 12:00:00,4686
2024-01-15 13:00:00,5203
2024-01-15 14:00:00,5555
2024-01-15 15:00:00,5379
2024-01-15 16:00:00,5419
2024-01-15 17:00:00,5389
2024-01-15 18:00:00,4759
2024-01-15 19:00:00,4296
2024-01-15 20:00:00,3572
2024-01-15 21:00:00,3138
2024-01-15 22:00:00,2533
2024-01-15 23:00:00,1929
2024-01-16 00:00:00,1052
2024-01-16 01:00:00,602
2024-01-16 02:00:00,291
2024-01-16 03:00:00,171
2024-01-16 04:00:00,178
2024-01-16 05:00:00,564
2024-01-16 06:00:00,1340
2024-01-16 07:00:00,2693
2024-01-16 08:00:00,4100
2024-01-16 09:00:00,4157
2024-01-16 10:00:00,4364
2024-01-16 11:00:00,4368
2024-01-16 12:00:00,4647
2024-01-16 13:00:00,5047
2024-01-16 14:00:00,5545
2024-01-16 15:00:00,5764
2024-01-16 16:00:00,5782
2024-01-16 17:00:00,6213
2024-01-16 18:00:00,6576
2024-01-16 19:00:00,5329
2024-01-16 20:00:00,4826
2024-01-16 21:00:00,5475
2024-01-16 22:00:00,3787
2024-01-16 23:00:00,2296
2024-01-17 00:00:00,1424
2024-01-17 01:00:00,664
2024-01-17 02:00:00,314
2024-01-17 03:00:00,204
2024-01-17 04:00:00,226
2024-01-17 05:00:00,620
2024-01-17 06:00:00,1580
2024-01-17 07:00:00,3774
2024-01-17 08:00:00,4621
2024-01-17 09:00:00,5006
2024-01-17 10:00:00,5104
2024-01-17 11:00:00,5320
2024-01-17 12:00:00,5491
2024-01-17 13:00:00,5470
2024-01-17 14:00:00,5876
2024-01-17 15:00:00,6394
2024-01-17 16:00:00,6606
2024-01-17 17:00:00,7607
2024-01-17 18:00:00,7823
2024-01-17 19:00:00,6736
2024-01-17 20:00:00,6087
2024-01-17 21:00:00,5462
2024-01-17 22:00:00,4555
2024-01-17 23:00:00,2685
2024-01-18 00:00:00,1305
2024-01-18 01:00:00,593
2024-01-18 02:00:00,342
2024-01-18 03:00:00,205
2024-01-18 04:00:00,214
2024-01-18 05:00:00,568
2024-01-18 06:00:00,1504
2024-01-18 07:00:00,3308
2024-01-18 08:00:00,4990
2024-01-18 09:00:00,5004
2024-01-18 10:00:00,5032
2024-01-18 11:00:00,5169
2024-01-18 12:00:00,5394
2024-01-18 13:00:00,5488
2024-01-18 14:00:00,5994
2024-01-18 15:00:00,6336
2024-01-18 16:00:00,6226
2024-01-18 17:00:00,7109
2024-01-18 18:00:00,8197
2024-01-18 19:00:00,6829
2024-01-18 20:00:00,6188
2024-01-18 21:00:00,6511
2024-01-18 22:00:00,5497
2024-01-18 23:00:00,3584
2024-01-19 00:00:00,1955
2024-01-19 01:00:00,1170
2024-01-19 02:00:00,627
2024-01-19 03:00:00,393
2024-01-19 04:00:00,311
2024-01-19 05:00:00,505
2024-01-19 06:00:00,1227
2024-01-19 07:00:00,2766
2024-01-19 08:00:00,3845
2024-01-19 09:00:00,4037
2024-01-19 10:00:00,4191
2024-01-19 11:00:00,4256
2024-01-19 12:00:00,4556
2024-01-19 13:00:00,4731
2024-01-19 14:00:00,5295
2024-01-19 15:00:00,5358
2024-01-19 16:00:00,5654
2024-01-19 17:00:00,6194
2024-01-19 18:00:00,6405
2024-01-19 19:00:00,6033
2024-01-19 20:00:00,4833
2024-01-19 21:00:00,4949
2024-01-19 22:00:00,5146
2024-01-19 23:00:00,4911
2024-01-20 00:00:00,4018
2024-01-20 01:00:00,3210
2024-01-20 02:00:00,2397
2024-01-20 03:00:00,1381
2024-01-20 04:00:00,662
2024-01-20 05:00:00,284
2024-01-20 06:00:00,607
2024-01-20 07:00:00,977
2024-01-20 08:00:00,1793
2024-01-20 09:00:00,3016
2024-01-20 10:00:00,3906
2024-01-20 11:00:00,4715
2024-01-20 12:00:00,5526
2024-01-20 13:00:00,5575
2024-01-20 14:00:00,5897
2024-01-20 15:00:00,6322
2024-01-20 16:00:00,6971
2024-01-20 17:00:00,6551
2024-01-20 18:00:00,6584
2024-01-20 19:00:00,6233
2024-01-20 20:00:00,5056
2024-01-20 21:00:00,5171
2024-01-20 22:00:00,5536
2024-01-20 23:00:00,5114
2024-01-21 00:00:00,4616
2024-01-21 01:00:00,3438
2024-01-21 02:00:00,2573
2024-01-21 03:00:00,1624
2024-01-21 04:00:00,808
2024-01-21 05:00:00,326
2024-01-21 06:00:00,547
2024-01-21 07:00:00,876
2024-01-21 08:00:00,1388
